Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cosmetic-interior-painting,Interior Painting Service,"<p>Professional interior painting service with premium coastal-grade paint designed for Florida's unique climate. Includes surface preparation, primer application, and two coats of high-quality paint. Perfect for refreshing any room in your home.</p>",First Coast Home Remodeling,Business & Industrial > Construction > Building Materials & Supplies,Services,"Painting, Interior, Hands-On, Coastal",true,Room Type,Single Room,,Size,Small (Up to 150 sq ft),,,,CR_PAINT_INT_SM,0,,deny,manual,850,,false,true,CR001001,https://burst.shopifycdn.com/photos/paint-brush-with-white-paint.jpg?width=1500,1,Professional interior painting service,false,Interior Painting Service - Single Room Small | First Coast Home Remodeling,Expert interior painting with coastal-grade materials for Florida homes,,g,,active
cosmetic-interior-painting,,,,,,,,,Single Room,,Medium (151-300 sq ft),,,,CR_PAINT_INT_MD,0,,deny,manual,1350,,false,true,CR001002,,,,,,,g,,
cosmetic-interior-painting,,,,,,,,,Single Room,,Large (301-500 sq ft),,,,CR_PAINT_INT_LG,0,,deny,manual,2200,,false,true,CR001003,,,,,,,g,,
cosmetic-interior-painting,,,,,,,,,Multiple Rooms,,2-3 Rooms,,,,CR_PAINT_INT_MLT,0,,deny,manual,3500,,false,true,CR001004,,,,,,,g,,
cosmetic-exterior-painting,Exterior Painting Service,"<p>Complete exterior painting service using weather-resistant, hurricane-grade paint specifically formulated for coastal conditions. Includes pressure washing, surface repair, primer, and two coats of premium exterior paint.</p>",First Coast Home Remodeling,Business & Industrial > Construction > Building Materials & Supplies,Services,"Painting, Exterior, Hands-On, Hurricane-Resistant",true,Property Type,Single Story Home,,Size,Small (Under 1500 sq ft),,,,CR_PAINT_EXT_SS,0,,deny,manual,3500,,false,true,CR002001,https://burst.shopifycdn.com/photos/house-painting-prep.jpg?width=1500,1,Exterior painting with hurricane-grade materials,false,Exterior Painting Service - Hurricane Resistant | First Coast Home Remodeling,Professional exterior painting with coastal-grade materials designed for Florida weather,,g,,active
cosmetic-exterior-painting,,,,,,,,,Single Story Home,,Medium (1500-2500 sq ft),,,,CR_PAINT_EXT_SM,0,,deny,manual,5200,,false,true,CR002002,,,,,,,g,,
cosmetic-exterior-painting,,,,,,,,,Two Story Home,,Medium (1500-2500 sq ft),,,,CR_PAINT_EXT_TM,0,,deny,manual,7800,,false,true,CR002003,,,,,,,g,,
cosmetic-exterior-painting,,,,,,,,,Two Story Home,,Large (2500+ sq ft),,,,CR_PAINT_EXT_TL,0,,deny,manual,12500,,false,true,CR002004,,,,,,,g,,
cosmetic-flooring-install,Flooring Installation Service,"<p>Professional flooring installation using moisture-resistant materials perfect for Florida's climate. Includes subfloor preparation, installation, and finishing. Choose from laminate, luxury vinyl, or ceramic tile options.</p>",First Coast Home Remodeling,Business & Industrial > Construction > Building Materials & Supplies,Services,"Flooring, Installation, Hands-On, Moisture-Resistant",true,Material Type,Laminate,,Room Size,Small (Under 200 sq ft),,,,CR_FLOOR_LAM_SM,0,,deny,manual,1800,,false,true,CR003001,https://burst.shopifycdn.com/photos/hardwood-flooring-tools.jpg?width=1500,1,Professional flooring installation service,false,Flooring Installation - Laminate Small Room | First Coast Home Remodeling,Expert flooring installation with moisture-resistant materials for coastal homes,,g,,active
cosmetic-flooring-install,,,,,,,,,Laminate,,Medium (200-400 sq ft),,,,CR_FLOOR_LAM_MD,0,,deny,manual,3200,,false,true,CR003002,,,,,,,g,,
cosmetic-flooring-install,,,,,,,,,Luxury Vinyl,,Small (Under 200 sq ft),,,,CR_FLOOR_LVP_SM,0,,deny,manual,2100,,false,true,CR003003,,,,,,,g,,
